pcid,timestep,community,growth_rate,density_change,degree_change,fraud_growth,clustering_change,feature_drift,variance_drift,lifetime,persistence,average_match_score,node_churn,structural_stability,is_fraud_community,afei,feature_contributions
161.0,22.0,18.0,0.9603975535168197,0.04032258064516128,0.8095238095238096,0.4242424242424243,0.7652582159624413,0.08140096281475626,0.030348715697297798,5.0,1.0,0.8736600000000001,0.9603975535168197,0.4800495762034225,1.0,0.5359404021154572,"{'growth_rate': np.float64(0.19207951070336393), 'density_change': np.float64(0.004032258064516128), 'degree_change': np.float64(0.08095238095238097), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.012210144422213439), 'variance_drift': np.float64(0.00151743578486489), 'node_churn': np.float64(0.09603975535168197), 'structural_stability': np.float64(0.025997521189828877)}"
66.0,21.0,52.0,0.8774209989806321,0.046875,1.0,0.4242424242424243,0.7652582159624413,0.061533274302705554,0.08293699450630375,2.0,0.4,0.8166,0.8774209989806321,0.3919432090318166,0.0,0.5348048757599267,"{'growth_rate': np.float64(0.17548419979612642), 'density_change': np.float64(0.004687500000000001), 'degree_change': np.float64(0.1), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.009229991145405833), 'variance_drift': np.float64(0.0041468497253151874), 'node_churn': np.float64(0.08774209989806321), 'structural_stability': np.float64(0.030402839548409166)}"
330.0,22.0,10.0,1.0,0.03550469483568075,0.5618779342723006,0.4242424242424243,0.08500937474003498,0.05430290101154097,0.039212503087140076,3.0,0.6,0.8232666666666666,1.0,0.2479040347786651,0.0,0.4965480750634397,"{'growth_rate': np.float64(0.2), 'density_change': np.float64(0.003550469483568075), 'degree_change': np.float64(0.056187793427230064), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.004250468737001749), 'feature_drift': np.float64(0.008145435151731144), 'variance_drift': np.float64(0.001960625154357004), 'node_churn': np.float64(0.1), 'structural_stability': np.float64(0.037604798261066746)}"
855.0,24.0,38.0,0.6959097859327218,0.05555555555555555,0.8395061728395062,0.4242424242424243,0.7652582159624413,0.10388414724172143,0.03390447229549216,2.0,0.4,0.91605,0.6959097859327218,0.4851965601965601,0.0,0.46440852195713445,"{'growth_rate': np.float64(0.13918195718654436), 'density_change': np.float64(0.005555555555555556), 'degree_change': np.float64(0.08395061728395063), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.015582622086258213), 'variance_drift': np.float64(0.0016952236147746082), 'node_churn': np.float64(0.06959097859327218), 'structural_stability': np.float64(0.025740171990171996)}"
92.0,21.0,12.0,0.579224006116208,0.06666666666666665,0.8922751322751326,0.4242424242424243,0.7652582159624413,0.14955652208429995,0.022051549105124697,4.0,0.8,0.7762249999999999,0.579224006116208,0.47224251278305324,0.0,0.4426967075043977,"{'growth_rate': np.float64(0.11584480122324159), 'density_change': np.float64(0.006666666666666665), 'degree_change': np.float64(0.08922751322751327), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.022433478312644993), 'variance_drift': np.float64(0.0011025774552562348), 'node_churn': np.float64(0.057922400611620795), 'structural_stability': np.float64(0.026387874360847344)}"
585.0,23.0,114.0,0.15137614678899083,0.25,0.6476190476190476,0.4242424242424243,0.7652582159624413,1.0,0.023432600221989057,2.0,0.4,0.88315,0.15137614678899083,1.0,0.0,0.4094577744563084,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.15), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
875.0,24.0,212.0,0.15137614678899083,0.25,0.6476190476190476,0.4242424242424243,0.7652582159624413,0.9389639418441249,0.023432600221989057,2.0,0.4,0.9309000000000001,0.15137614678899083,1.0,0.0,0.4003023657329271,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.14084459127661872), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
212.0,21.0,34.0,0.5014334862385321,0.07692307692307693,0.8302808302808304,0.4242424242424243,0.7652582159624413,0.041569993614145845,0.07590842912598354,5.0,1.0,0.7801,0.5014334862385321,0.5212728857890149,0.0,0.3982291084475276,"{'growth_rate': np.float64(0.10028669724770643), 'density_change': np.float64(0.007692307692307693), 'degree_change': np.float64(0.08302808302808305), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.0062354990421218765), 'variance_drift': np.float64(0.0037954214562991775), 'node_churn': np.float64(0.050143348623853216), 'structural_stability': np.float64(0.023936355710549258)}"
531.0,23.0,35.0,0.5014334862385321,0.07692307692307693,0.5867317867317867,0.4242424242424243,0.7652582159624413,0.1937164196015861,0.016136696090867198,2.0,0.4,0.92315,0.5014334862385321,0.5944725764138856,0.0,0.39004759680773987,"{'growth_rate': np.float64(0.10028669724770643), 'density_change': np.float64(0.007692307692307693), 'degree_change': np.float64(0.05867317867317867), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.02905746294023791), 'variance_drift': np.float64(0.00080683480454336), 'node_churn': np.float64(0.050143348623853216), 'structural_stability': np.float64(0.02027637117930572)}"
6.0,21.0,11.0,0.12780326197757394,0.2946428571428571,0.6194616977225673,1.0,0.7652582159624413,0.07874249010996198,0.030361844162372496,2.0,0.4,0.8591,0.1278032619775739,0.8654281992836212,1.0,0.3880724006383685,"{'growth_rate': np.float64(0.02556065239551479), 'density_change': np.float64(0.02946428571428571), 'degree_change': np.float64(0.06194616977225673), 'fraud_growth': np.float64(0.2), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.011811373516494297), 'variance_drift': np.float64(0.001518092208118625), 'node_churn': np.float64(0.012780326197757392), 'structural_stability': np.float64(0.006728590035818938)}"
